Track name, Artist name, Album, Playlist name, Type, ISRC
Colors,Black Pumas,Black Pumas,bitch im a mother,Playlist track,USATO1900023
Levitating (feat. DaBaby),Dua Lipa,Levitating (feat. DaBaby),bitch im a mother,Playlist track,GBAHT2000942
АУФ,SQWOZ BAB,АУФ,bitch im a mother,Playlist track,FRX872078503
If You Wanna,The Vaccines,What Did You Expect from The Vaccines?,bitch im a mother,Playlist track,GBARL1100001
Halo,Cage The Elephant,Melophobia,bitch im a mother,Playlist track,USRC11301165
Joshua Tree,Cautious Clay,Blood Type,bitch im a mother,Playlist track,TCADH1769176
Better Now,Post Malone,beerbongs & bentleys,bitch im a mother,Playlist track,USUM71805170
UCLA,RL Grime,NOVA,bitch im a mother,Playlist track,QMUY41800081
Baianá,Bakermat,The Ringmaster,bitch im a mother,Playlist track,NLE801900440
Come Down,Anderson .Paak,Malibu,bitch im a mother,Playlist track,USUYG1088425
Tints (feat. Kendrick Lamar),Anderson .Paak,Oxnard,bitch im a mother,Playlist track,ZZOPM1800659
Good Feeling,Flo Rida,Wild Ones,bitch im a mother,Playlist track,USAT21101961
Titanium (feat. Sia),David Guetta,Nothing but the Beat 2.0,bitch im a mother,Playlist track,GB28K1100036
Pursuit Of Happiness (Nightmare),Kid Cudi,Man On The Moon: The End Of Day,bitch im a mother,Playlist track,USUM70981907
American Boy,Estelle,Shine,bitch im a mother,Playlist track,USAT20706210
Tongue Tied,Grouplove,Never Trust a Happy Song,bitch im a mother,Playlist track,USAT21101334
Sweet Caroline,Neil Diamond,Sweet Caroline,bitch im a mother,Playlist track,USMC16991138
IV. Sweatpants,Childish Gambino,Because the Internet,bitch im a mother,Playlist track,USYAH1300223
Bonfire,Childish Gambino,Camp,bitch im a mother,Playlist track,USYAH1100339
24K Magic,Bruno Mars,24K Magic,bitch im a mother,Playlist track,USAT21602944
Coco (feat. DaBaby),24kGoldn,El Dorado,bitch im a mother,Playlist track,USQX92004163
The Hills,The Weeknd,Beauty Behind The Madness,bitch im a mother,Playlist track,USUG11500737
Starboy,The Weeknd,Starboy,bitch im a mother,Playlist track,USUG11600976
Cigarette Daydreams,Cage The Elephant,Melophobia,bitch im a mother,Playlist track,USRC11301169
Dang! (feat. Anderson .Paak),Mac Miller,The Divine Feminine,bitch im a mother,Playlist track,USWB11601217
I Gotta Feeling,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES),bitch im a mother,Playlist track,USUM70965169
Cigarettes On Patios,BabyJake,Cigarettes On Patios,bitch im a mother,Playlist track,USUM71904051
Mo Bamba,Sheck Wes,MUDBOY,bitch im a mother,Playlist track,QM24S1703585
I Feel It Coming,The Weeknd,Starboy,bitch im a mother,Playlist track,USUG11601012
Party In The U.S.A.,Miley Cyrus,The Time Of Our Lives,bitch im a mother,Playlist track,USHR10924519
TiK ToK,Kesha,Animal (Expanded Edition),bitch im a mother,Playlist track,USRC10900433
Last Friday Night (T.G.I.F.),Katy Perry,Teenage Dream,bitch im a mother,Playlist track,USCA21001264
Summer,Calvin Harris,Motion,bitch im a mother,Playlist track,GBARL1400296
VALENTINO,24kGoldn,DROPPED OUTTA COLLEGE,bitch im a mother,Playlist track,USQX91803621
ROXANNE,Arizona Zervas,ROXANNE,bitch im a mother,Playlist track,USSM11914320
FML,Arizona Zervas,Living Facts,bitch im a mother,Playlist track,USSM11914459
La La Land,Bryce Vine,Carnival,bitch im a mother,Playlist track,USWB11901203
Drew Barrymore,Bryce Vine,Drew Barrymore,bitch im a mother,Playlist track,USQY51770936
Everyday,Logic,Bobby Tarantino II,bitch im a mother,Playlist track,USUM71802154
Mr. Brightside,The Killers,Hot Fuss,bitch im a mother,Playlist track,USIR20400274
Neighbors,J. Cole,4 Your Eyez Only,bitch im a mother,Playlist track,QMJMT1601088
Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,The Heist,bitch im a mother,Playlist track,GMM881200021
100 Bad Days,AJR,Neotheater,bitch im a mother,Playlist track,QMRSZ1900001
No Hands (feat. Roscoe Dash & Wale),Waka Flocka Flame,Flockaveli,bitch im a mother,Playlist track,USWB11002103
HeadBand (feat. 2 Chainz),B.o.B,Underground Luxury,bitch im a mother,Playlist track,USAT21301167
Bounce It (feat. Wale & Trey Songz),Juicy J,Stay Trippy,bitch im a mother,Playlist track,USSM11302896
Gas Pedal,Sage The Gemini,Remember Me,bitch im a mother,Playlist track,USUYG1027384
All Night Longer,Sammy Adams,All Night Longer,bitch im a mother,Playlist track,USRC11200623
Take A Step Back,Ski Mask The Slump God,You Will Regret (Reloaded),bitch im a mother,Playlist track,USUM71704625
Turn Down for What,DJ Snake,Turn Down for What,bitch im a mother,Playlist track,USSM11308174
Look At Me!,XXXTENTACION,Look At Me!,bitch im a mother,Playlist track,USUYG1131080
Audi.,Smokepurpp,Deadstar,bitch im a mother,Playlist track,USUG11700729
In My Feelings,Drake,Scorpion,bitch im a mother,Playlist track,USCM51800206
XO Tour Llif3,Lil Uzi Vert,Luv Is Rage 2,bitch im a mother,Playlist track,USAT21703440
"Bands (feat. OhGeesy, Fenix Flexin & Master Kato)",Shoreline Mafia,Shoreline Mafia Presents Rob Vicious: Traplantic,bitch im a mother,Playlist track,USAT21804300
Love Sosa,Chief Keef,Finally Rich (Deluxe),bitch im a mother,Playlist track,USUM71214600
Nun Major,Shoreline Mafia,ShorelineDoThatShit,bitch im a mother,Playlist track,USAT21802116
Mask Off,Future,FUTURE,bitch im a mother,Playlist track,USSM11701444
Ransom,Lil Tecca,We Love You Tecca,bitch im a mother,Playlist track,QZ85M1940160
Plain Jane,A$AP Ferg,Still Striving,bitch im a mother,Playlist track,USRC11701803
Stir Fry,Migos,Culture II,bitch im a mother,Playlist track,USUM71714081
Bad and Boujee (feat. Lil Uzi Vert),Migos,Culture,bitch im a mother,Playlist track,QMCE31600796
Narcos,Migos,Culture II,bitch im a mother,Playlist track,USUM71800980
Ric Flair Drip (& Metro Boomin),Offset,Without Warning,bitch im a mother,Playlist track,QZ45A1700064
Tunnel Vision,Kodak Black,Painting Pictures,bitch im a mother,Playlist track,USAT21700379
"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",A$AP Rocky,LONG.LIVE.A$AP (Deluxe Version),bitch im a mother,Playlist track,USRC11201220
"RAF (feat. A$AP Rocky, Playboi Carti, Quavo, Lil Uzi Vert & Frank Ocean)",A$AP Mob,Cozy Tapes Vol. 2: Too Cozy,bitch im a mother,Playlist track,USRC11701090
Yamborghini High (feat. Juicy J),A$AP Mob,Yamborghini High (feat. Juicy J),bitch im a mother,Playlist track,USRC11600049
Crazy In Love (feat. Jay-Z),Beyoncé,Dangerously In Love,bitch im a mother,Playlist track,USSM10305425
Don't Stop The Music,Rihanna,Good Girl Gone Bad: Reloaded,bitch im a mother,Playlist track,USUM70734700
Hips Don't Lie (feat. Wyclef Jean),Shakira,"Oral Fixation, Vol. 2 (Expanded Edition)",bitch im a mother,Playlist track,USSM10600677
Unwritten,Natasha Bedingfield,Unwritten,bitch im a mother,Playlist track,GBARL0400707
Whatcha Say,Jason Derulo,Jason Derulo (International),bitch im a mother,Playlist track,USWB10901504
Starships,Nicki Minaj,Pink Friday ... Roman Reloaded,bitch im a mother,Playlist track,USCM51200060
Bank Account,21 Savage,Issa Album,bitch im a mother,Playlist track,USSM11705546
D Rose,Lil Pump,Lil Pump,bitch im a mother,Playlist track,USWB11701030
Havana,Camila Cabello,Havana,bitch im a mother,Playlist track,USSM11706905
Despacito - Remix,Luis Fonsi,Despacito Feat. Justin Bieber (Remix),bitch im a mother,Playlist track,USUM71703825
God's Plan,Drake,Scary Hours,bitch im a mother,Playlist track,USCM51800004
Wake Me Up,Avicii,True,bitch im a mother,Playlist track,SEUM71301326
Jackie Chan,Tiësto,Jackie Chan,bitch im a mother,Playlist track,CYA111800123
Gold Digger,Kanye West,Late Registration,bitch im a mother,Playlist track,USUM70500143
Wild Ones (feat. Sia),Flo Rida,Wild Ones,bitch im a mother,Playlist track,USAT21104103
Like A G6,Far East Movement,Free Wired,bitch im a mother,Playlist track,USUM71008138
Timber (feat. Ke$ha),Pitbull,Global Warming: Meltdown (Deluxe Version),bitch im a mother,Playlist track,USRC11301695
We Can't Stop,Miley Cyrus,Bangerz (Deluxe Version),bitch im a mother,Playlist track,USRC11300686
Ni**as In Paris,JAY-Z,Top Five (Music From And Inspired By The Motion Picture),bitch im a mother,Playlist track,USUM71111621
rockstar (feat. 21 Savage),Post Malone,beerbongs & bentleys,bitch im a mother,Playlist track,USUM71710087
Trap Queen,Fetty Wap,Fetty Wap (Deluxe),bitch im a mother,Playlist track,QM7XC1400004
Low (feat. T-Pain),Flo Rida,Mail on Sunday,bitch im a mother,Playlist track,USAT20705841
Trumpets,Jason Derulo,Talk Dirty,bitch im a mother,Playlist track,USWB11400673
Ignition,R. Kelly,Chocolate Factory,bitch im a mother,Playlist track,USJI10300017
Replay,Iyaz,Replay,bitch im a mother,Playlist track,USRE10901161
Shower,Becky G,Shower,bitch im a mother,Playlist track,USRC11400866
REEL IT IN,Aminé,ONEPOINTFIVE,bitch im a mother,Playlist track,USUM71811853
"Never Recover (Lil Baby & Gunna, Drake)",Lil Baby,Drip Harder,bitch im a mother,Playlist track,USUG11801946
10 Bands,Drake,If You're Reading This It's Too Late,bitch im a mother,Playlist track,USCM51500014
Uproar,Lil Wayne,Tha Carter V,bitch im a mother,Playlist track,USUG11802105
0 To 100 / The Catch Up,Drake,0 To 100 / The Catch Up,bitch im a mother,Playlist track,USCM51400222
Truffle Butter,Nicki Minaj,The Pinkprint (Deluxe Edition),bitch im a mother,Playlist track,USCM51400405
I Don't Mind (feat. Juicy J),Usher,I Don't Mind (feat. Juicy J),bitch im a mother,Playlist track,USRC11402425
679 (feat. Remy Boyz),Fetty Wap,679 (feat. Remy Boyz),bitch im a mother,Playlist track,QMCE31500250
Trophies,Young Money,Rise Of An Empire (Deluxe Edition),bitch im a mother,Playlist track,USCM51400038
Jumpman,Drake,What A Time To Be Alive,bitch im a mother,Playlist track,USCM51500300
6 Foot 7 Foot,Lil Wayne,Tha Carter IV (Deluxe),bitch im a mother,Playlist track,USCM51000869
Jordan Belfort,Wes Walker,Jordan Belfort,bitch im a mother,Playlist track,USAT21502771
Broccoli,Shelley FKA DRAM,Broccoli,bitch im a mother,Playlist track,USUYG1098775
Toxic,Britney Spears,In The Zone,bitch im a mother,Playlist track,USJI10301005
Bricks,Carnage,Bricks (feat. Migos),bitch im a mother,Playlist track,USUS11202710
Swimming Pools (Drank),Kendrick Lamar,Swimming Pools (Drank),bitch im a mother,Playlist track,USUM71207642
m.A.A.d city,Kendrick Lamar,"good kid, m.A.A.d city (Deluxe)",bitch im a mother,Playlist track,USUM71210784
